Company,Region,Country,Sector,Industry,ESG,E,G,S,GC,ROA 2023,Entity Name,gc_262
Mahindra & Mahindra Ltd.,Asia,India,Consumer Durables,Motor Vehicles,63.20,64.72,66.12,59.40,69.23,8.64,Axis Bank Ltd.,64.07
Gerdau SA,South America,Brazil,Non-Energy Minerals,Steel,59.38,65.18,50.24,57.03,62.92,3.70,Bharti Airtel Ltd.,61.83
"CSC Financial Co., Ltd.",Asia,China,Finance,Investment Managers,46.97,45.88,47.25,47.34,63.59,1.25,"Guangzhou Automobile Group Co., Ltd.",63.27
MMC Norilsk Nickel PJSC,Europe,Russian Federation,Non-Energy Minerals,Other Metals/Minerals,63.34,66.21,62.05,59.37,61.31,6.90,"Beijing Kingsoft Office Software, Inc.",53.12
"Yunnan Baiyao Group Co., Ltd.",Asia,China,Health Technology,Pharmaceuticals: Major,45.18,48.23,42.97,45.09,55.79,4.20,"XCMG Construction Machinery Co., Ltd.",51.76
Bajaj Finserv Ltd.,Asia,India,Finance,Life/Health Insurance,47.49,50.63,44.19,51.03,55.18,2.90,"Orient Securities Co., Ltd.",62.01
Polyus PJSC,Europe,Russian Federation,Non-Energy Minerals,Precious Metals,58.64,56.82,59.30,61.26,59.71,3.20,IndusInd Bank Ltd.,65.61
"Wuliangye Yibin Co., Ltd.",Asia,China,Consumer Non-Durables,Beverages: Alcoholic,47.60,49.11,43.19,47.30,62.44,3.50,Avenue Supermarts Ltd.,53.35
Larsen & Toubro Ltd.,Asia,India,Industrial Services,Engineering & Construction,60.40,60.83,61.25,59.11,64.27,6.43,Gazprom Neft PJSC,63.73
Sun Pharmaceutical Industries Ltd.,Asia,India,Health Technology,Pharmaceuticals: Major,53.79,58.41,50.04,53.82,57.83,3.80,"NetEase, Inc.",54.06
H World Group Ltd.,Asia,China,Consumer Services,Hotels/Resorts/Cruise lines,47.38,46.47,48.40,47.85,54.74,3.50,Jiangsu Expressway Co. Ltd.,51.96
