Date,Non ESG EM (Adjusted),ESG EM (Raw),ESG EM (Adjusted)
9-Oct-19,993.01,1082.01,1436.01
10-Oct-19,996.5,1085.5,1235.5
11-Oct-19,1011.54,1100.54,1452.54
14-Oct-19,1017.45,1106.45,1591.45
15-Oct-19,1019.25,1108.25,1454.25
16-Oct-19,1024.09,1113.09,1269.09
17-Oct-19,1028.39,1117.39,1617.39
18-Oct-19,1024.02,1113.02,1526.02
21-Oct-19,1028.51,1117.51,1448.51
22-Oct-19,1034.08,1123.08,1490.08
23-Oct-19,1030.95,1119.95,1254.95
24-Oct-19,1037.41,1126.41,1248.41
25-Oct-19,1035.84,1124.84,1521.84
28-Oct-19,1042.97,1131.97,1321.97
29-Oct-19,1043.73,1132.73,1467.73
30-Oct-19,1041.5,1130.5,1475.5
31-Oct-19,1041.98,1130.98,1580.98
1-Nov-19,1049.19,1138.19,1595.19
4-Nov-19,1064.55,1153.55,1520.55
5-Nov-19,1071.22,1160.22,1470.22
6-Nov-19,1068.87,1157.87,1333.87
7-Nov-19,1073.57,1162.57,1575.57
8-Nov-19,1064.85,1153.85,1444.85
11-Nov-19,1052.88,1141.88,1614.88
12-Nov-19,1055.83,1144.83,1511.83
13-Nov-19,1043.83,1132.83,1463.83
14-Nov-19,1042.26,1131.26,1472.26
15-Nov-19,1048.79,1137.79,1620.79
18-Nov-19,1052.12,1141.12,1555.12
19-Nov-19,1057.16,1146.16,1588.16
20-Nov-19,1052,1141,1571
21-Nov-19,1044.58,1133.58,1349.58
22-Nov-19,1048.55,1137.55,1430.55
25-Nov-19,1053.47,1142.47,1299.47
26-Nov-19,1047.84,1136.84,1603.84
27-Nov-19,1052.93,1141.93,1464.93
28-Nov-19,1050.39,1139.39,1474.39
29-Nov-19,1040.05,1129.05,1563.05
2-Dec-19,1040.22,1129.22,1403.22
3-Dec-19,1037.38,1126.38,1282.38
4-Dec-19,1036.57,1125.57,1406.57
5-Dec-19,1042.85,1131.85,1273.85
6-Dec-19,1048.96,1137.96,1526.96
9-Dec-19,1051.11,1140.11,1321.11
10-Dec-19,1049.5,1138.5,1262.5
11-Dec-19,1058.23,1147.23,1540.23
12-Dec-19,1070.71,1159.71,1434.71
13-Dec-19,1086.91,1175.91,1459.91
16-Dec-19,1087.96,1176.96,1505.96
17-Dec-19,1102.61,1191.61,1508.61
18-Dec-19,1109.18,1198.18,1527.18
19-Dec-19,1106.63,1195.63,1689.63
20-Dec-19,1107.64,1196.64,1659.64
23-Dec-19,1111.64,1200.64,1449.64
24-Dec-19,1109.07,1198.07,1576.07
25-Dec-19,1109.14,1198.14,1655.14
26-Dec-19,1112.08,1201.08,1695.08
27-Dec-19,1118.67,1207.67,1623.67
30-Dec-19,1118.42,1207.42,1391.42
31-Dec-19,1114.66,1203.66,1576.66
1-Jan-20,1114.64,1203.64,1419.64
2-Jan-20,1128.01,1217.01,1343.01
3-Jan-20,1123.87,1212.87,1484.87
6-Jan-20,1112.53,1201.53,1311.53
7-Jan-20,1115.84,1204.84,1539.84
8-Jan-20,1111.4,1200.4,1441.4
9-Jan-20,1129.37,1218.37,1707.37
10-Jan-20,1133.63,1222.63,1572.63
13-Jan-20,1144,1233,1611
14-Jan-20,1143.86,1232.86,1724.86
15-Jan-20,1137.98,1226.98,1439.98
16-Jan-20,1140.62,1229.62,1717.62
17-Jan-20,1146.83,1235.83,1592.83
20-Jan-20,1145.68,1234.68,1466.68
21-Jan-20,1126.85,1215.85,1456.85
22-Jan-20,1133.4,1222.4,1448.4
23-Jan-20,1122.19,1211.19,1476.19
24-Jan-20,1119.39,1208.39,1467.39
27-Jan-20,1102.98,1191.98,1504.98
28-Jan-20,1101.72,1190.72,1684.72
29-Jan-20,1097.51,1186.51,1371.51
30-Jan-20,1072.79,1161.79,1350.79
31-Jan-20,1062.34,1151.34,1274.34
3-Feb-20,1060.32,1149.32,1519.32
4-Feb-20,1085.39,1174.39,1411.39
5-Feb-20,1089.41,1178.41,1597.41
6-Feb-20,1102.39,1191.39,1407.39
7-Feb-20,1091.65,1180.65,1584.65
10-Feb-20,1086.93,1175.93,1490.93
11-Feb-20,1099.41,1188.41,1400.41
12-Feb-20,1109.7,1198.7,1481.7
13-Feb-20,1106.07,1195.07,1564.07
14-Feb-20,1106.3,1195.3,1648.3
17-Feb-20,1107.99,1196.99,1532.99
18-Feb-20,1095.66,1184.66,1555.66
19-Feb-20,1103.69,1192.69,1581.69
20-Feb-20,1095.32,1184.32,1606.32
21-Feb-20,1084.22,1173.22,1411.22
24-Feb-20,1055.32,1144.32,1330.32
25-Feb-20,1056.54,1145.54,1372.54
26-Feb-20,1043.31,1132.31,1449.31
27-Feb-20,1030.67,1119.67,1532.67
28-Feb-20,1005.52,1094.52,1296.52
2-Mar-20,1017.03,1106.03,1478.03
3-Mar-20,1027.82,1116.82,1445.82
4-Mar-20,1037.81,1126.81,1499.81
5-Mar-20,1039.34,1128.34,1596.34
6-Mar-20,1012.08,1101.08,1262.08
9-Mar-20,947.92,1036.92,1238.92
10-Mar-20,964.55,1053.55,1205.55
11-Mar-20,946.62,1035.62,1199.62
