Company,Region,Country,Sector,Industry,ESG,E,G,S,GC,ROA 2022,ROA 2021,ROA 2020
Mahindra & Mahindra Ltd.,Asia,India,Consumer Durables,Motor Vehicles,63.2,64.72,66.12,59.4,69.23,8.6,6.24,6.5
Gerdau SA,South America,Brazil,Non-Energy Minerals,Steel,59.38,65.18,50.24,57.03,62.92,3.7,4.2,3.4
"CSC Financial Co., Ltd.",Asia,China,Finance,Investment Managers,46.97,45.88,47.25,47.34,63.59,1.25,2.1,6.3
MMC Norilsk Nickel PJSC,Europe,Russian Federation,Non-Energy Minerals,Other Metals/Minerals,63.34,66.21,62.05,59.37,61.31,6.9,3.6,2.4
"Yunnan Baiyao Group Co., Ltd.",Asia,China,Health Technology,Pharmaceuticals: Major,45.18,48.23,42.97,45.09,55.79,4.2,3.2,6.7
Bajaj Finserv Ltd.,Asia,India,Finance,Life/Health Insurance,47.49,50.63,44.19,51.03,55.18,2.9,4.4,4.3
Polyus PJSC,Europe,Russian Federation,Non-Energy Minerals,Precious Metals,58.64,56.82,59.3,61.26,59.71,3.2,2.1,5
"Wuliangye Yibin Co., Ltd.",Asia,China,Consumer Non-Durables,Beverages: Alcoholic,47.6,49.11,43.19,47.3,62.44,3.5,2.3,5.2
Larsen & Toubro Ltd.,Asia,India,Industrial Services,Engineering & Construction,60.4,60.83,61.25,59.11,64.27,6.43,3.4,6.3
Sun Pharmaceutical Industries Ltd.,Asia,India,Health Technology,Pharmaceuticals: Major,53.79,58.41,50.04,53.82,57.83,3.8,1.3,1.4
H World Group Ltd.,Asia,China,Consumer Services,Hotels/Resorts/Cruise lines,47.38,46.47,48.4,47.85,54.74,3.5,1.3,6.7
"Jiangsu King's Luck Brewery Joint-stock Co., Ltd.",Asia,China,Consumer Non-Durables,Beverages: Alcoholic,44.67,44.36,43.7,45.61,54.55,2.1,2.4,3.2
"China National Nuclear Power Co., Ltd.",Asia,China,Utilities,Electric Utilities,46.65,50.84,41.45,45.05,66.23,3.5,2.1,5.2
"Sany Heavy Industry Co., Ltd.",Asia,China,Producer Manufacturing,Trucks/Construction/Farm Machinery,50.27,49.85,43.59,55.49,62.13,5.3,2.8,6.2
"Li Auto, Inc.",Asia,China,Consumer Durables,Motor Vehicles,49.96,50.11,52.44,48.24,42.96,2.3,2.6,1.3
"COSCO SHIPPING Energy Transportation Co., Ltd.",Asia,China,Transportation,Marine Shipping,52.68,59.53,46,48.09,62.35,3.2,2.4,4.6
Pidilite Industries Ltd.,Asia,India,Process Industries,Industrial Specialties,54.89,64.58,41.87,48.24,58.49,4.3,2.8,3.2
"Shenzhen Mindray Bio-Medical Electronics Co., Ltd.",Asia,China,Health Technology,Medical Specialties,47.72,50.16,47.22,46.74,67.12,1.2,1.2,4.6
"Zhongji Innolight Co., Ltd.",Asia,China,Electronic Technology,Semiconductors,47.04,47.24,42.85,49.54,57.41,3.4,1.4,3.2
"Zoomlion Heavy Industry Science & Technology Co., Ltd.",Asia,China,Producer Manufacturing,Industrial Machinery,48.17,49.56,46.89,46.71,54.86,2.2,2.8,1.3
Hua Hong Semiconductor Ltd.,Asia,China,Electronic Technology,Semiconductors,52.35,61.45,47.6,39.92,66.3,5.6,8.6,5.1
"NetEase, Inc.",Asia,China,Technology Services,Packaged Software,49.96,48.3,47.52,52.78,54.06,2.4,2.1,0.1
Jiangsu Expressway Co. Ltd.,Asia,China,Transportation,Other Transportation,51.58,56.78,49.78,46.18,51.96,2.8,4.3,2.3
Grasim Industries Ltd.,Asia,India,Non-Energy Minerals,Construction Materials,57.61,60.44,51.06,57.66,62.05,4.8,2.5,5.1
"Contemporary Amperex Technology Co., Ltd.",Asia,China,Producer Manufacturing,Electrical Products,52.17,53.05,48.08,53.14,57.32,3.2,6.3,6.3
China Telecom Corp. Ltd.,Asia,China,Communications,Wireless Telecommunications,52.69,56.24,52.74,49.01,62.07,4.5,2.3,2
Siemens Ltd.,Asia,India,Producer Manufacturing,Electrical Products,59.64,65.02,56.51,52.26,69.97,6.8,7.4,2.5
"Inner Mongolia Yili Industrial Group Co., Ltd.",Asia,China,Process Industries,Agricultural Commodities/Milling,48.67,47.49,46.16,51.22,68.55,3.2,2.1,3.1
"Huatai Securities Co., Ltd.",Asia,China,Finance,Investment Banks/Brokers,48.09,60.77,48.85,40.52,65.89,2.3,4.2,5.2
"Luzhou Laojiao Co., Ltd.",Asia,China,Consumer Non-Durables,Beverages: Alcoholic,45.2,45.08,44.64,45.66,55.14,1.3,5.8,5.6
"Yum China Holdings, Inc.",Asia,China,Consumer Services,Restaurants,51.64,51.36,48.45,53.04,70.27,6.7,3.2,2.3
Companhia Energética de Minas Gerais SA,South America,Brazil,Utilities,Electric Utilities,58.72,64.7,55.64,52.23,54.57,7.8,5.7,5.3
Itausa SA,South America,Brazil,Finance,Financial Conglomerates,48.27,42.83,48.72,50.46,62.21,7.5,2.4,3.2
Itaú Unibanco Holding SA,South America,Brazil,Finance,Major Banks,58.24,63.36,59.52,55.03,68.01,12.4,4.2,4.2
Dr. Reddy's Laboratories Ltd.,Asia,India,Health Technology,Pharmaceuticals: Major,53.17,61.98,52.28,50.98,66.09,5.4,4.5,1.24
Infosys Ltd.,Asia,India,Technology Services,Information Technology Services,59.88,56.88,66.77,57.64,70.44,7.8,6.8,5.3
"KE Holdings, Inc.",Asia,China,Finance,Real Estate Development,46.64,47.25,44.22,48.35,52.58,3.4,2.4,2.5
"Great Wall Motor Co., Ltd.",Asia,China,Consumer Durables,Motor Vehicles,49.67,55.43,47.19,43.57,55.73,5.7,7.2,2.5
"EVE Energy Co., Ltd.",Asia,China,Producer Manufacturing,Electrical Products,47.34,50.82,41.84,43.45,65.51,3.2,7.1,6.2
China Longyuan Power Group Corp. Ltd.,Asia,China,Utilities,Alternative Power Generation,48.5,49.75,46.78,48.3,54.93,4.3,3.7,38.1
Tata Steel Ltd.,Asia,India,Non-Energy Minerals,Steel,62.12,64.93,56.79,62.08,72.45,12.3,12.9,3
COSCO SHIPPING Holdings Co. Ltd.,Asia,China,Transportation,Marine Shipping,51.3,57.33,46.44,46.01,66.09,3.2,1.4,2.5
Semiconductor Manufacturing International Corp.,Asia,China,Electronic Technology,Semiconductors,53.69,58.62,52.64,46.05,60.59,5.4,3.2,4.2
Eicher Motors Ltd.,Asia,India,Consumer Durables,Motor Vehicles,55.46,53.8,57.11,57.11,57.46,5.7,6.2,5.2
"Tsingtao Brewery Co., Ltd.",Asia,China,Consumer Non-Durables,Beverages: Alcoholic,52.32,54.67,46.33,51.47,53.67,3.2,6.1,7.5
"Ningbo Tuopu Group Co., Ltd.",Asia,China,Producer Manufacturing,Auto Parts: OEM,43.92,46.02,40.65,42.73,46.81,6.5,4.2,3.2
"China Minsheng Banking Corp., Ltd.",Asia,China,Finance,Regional Banks,48.68,52.57,49.67,46.21,57.45,7.3,5.3,4.6
China Everbright Bank Co. Ltd.,Asia,China,Finance,Major Banks,51.49,61.15,46.01,50.75,58.52,8.7,6.7,4.1
"Shanghai Pudong Development Bank Co., Ltd.",Asia,China,Finance,Regional Banks,54.29,66.08,48.62,52.69,58.32,6.4,2.4,2.5
Severstal PAO,Europe,Russian Federation,Non-Energy Minerals,Steel,56.58,63.89,46.5,51.84,65.31,5.4,6.8,6.2
"Tongwei Co., Ltd.",Asia,China,Process Industries,Agricultural Commodities/Milling,51.9,56.37,49.21,47.05,71.92,3.4,5.6,7.1
"Poly Developments & Holdings Group Co., Ltd.",Asia,China,Finance,Real Estate Development,47.96,49.27,42.1,50.02,61.95,2.3,8.6,3.5
"Beijing-Shanghai High-Speed Railway Co., Ltd.",Asia,China,Transportation,Railroads,44.02,43.4,49.61,38.1,48.27,4.2,5.4,2.6
Hindalco Industries Ltd.,Asia,India,Non-Energy Minerals,Other Metals/Minerals,65.29,71.65,60.91,57.76,65.82,6.4,7.6,3.1
"JD Health International, Inc.",Asia,China,Health Services,Medical/Nursing Services,50.75,49.49,48.72,51.9,63.1,4.3,9.6,5.2
"Haitong Securities Co., Ltd.",Asia,China,Finance,Investment Banks/Brokers,48.23,59.29,50.61,40.23,59.26,2.3,3.5,2.4
"Henan Shuanghui Investment & Development Co., Ltd.",Asia,China,Consumer Non-Durables,Food: Meat/Fish/Dairy,49.24,51.73,48.11,46.1,61.23,5.3,7.6,6.5
Companhia Paranaense de Energia,South America,Brazil,Utilities,Electric Utilities,56.66,55.16,60.39,55.07,54.2,6.8,3.3,3.1
"TBEA Co., Ltd.",Asia,China,Producer Manufacturing,Electrical Products,48.58,53.52,44.16,43.17,60.41,4.3,5.8,4.6
China Petroleum & Chemical Corp.,Asia,China,Energy Minerals,Integrated Oil,57.85,65.42,49.04,58.81,57.91,6.9,9.8,3.2
"XCMG Construction Machinery Co., Ltd.",Asia,China,Producer Manufacturing,Trucks/Construction/Farm Machinery,44.06,43.37,41.37,47.03,51.76,5.3,6.7,5.6
"Hithink RoyalFlush Information Network Co., Ltd.",Asia,China,Technology Services,Information Technology Services,40.51,43.18,40.47,39.55,43.44,2.1,8.9,2.4
"Muyuan Foods Co., Ltd.",Asia,China,Process Industries,Agricultural Commodities/Milling,51.07,52.65,44.72,51.05,65.96,3.3,7.6,5.7
"ZTO Express (Cayman), Inc.",Asia,China,Transportation,Air Freight/Couriers,52.4,58,46.39,51,53.56,4.3,8.6,1.3
Adani Ports & Special Economic Zone Ltd.,Asia,India,Transportation,Other Transportation,60.1,61.14,61.2,56.46,62.95,7.6,10.2,2.4
"Bank of Shanghai Co., Ltd.",Asia,China,Finance,Regional Banks,42.49,41.99,43.32,42.16,61.46,4.3,7.6,7.2
"Industrial Bank Co., Ltd.",Asia,China,Finance,Regional Banks,46.24,51.36,45.14,44.62,62.11,6.7,4.3,4
Air China Ltd.,Asia,China,Transportation,Airlines,47.53,51.93,44.58,45,61.21,7.6,7.9,5.2
Surgutneftegas PJSC,Europe,Russian Federation,Energy Minerals,Integrated Oil,51.99,56,51.59,45.75,47.8,5.4,4.6,1.3
"Anhui Conch Cement Co., Ltd.",Asia,China,Non-Energy Minerals,Construction Materials,52.48,57.85,45.69,45.68,61.58,3.2,2.3,0.2
"Bank of Jiangsu Co., Ltd.",Asia,China,Finance,Regional Banks,42.85,43.59,44.3,41.53,53.71,4.5,5.6,4.2
Gazprom Neft PJSC,Europe,Russian Federation,Energy Minerals,Oil Refining/Marketing,62.96,68.79,60.96,55.51,63.73,13.2,4.6,5.2
"Shanghai Baosight Software Co., Ltd.",Asia,China,Technology Services,Packaged Software,39.5,43.37,43.79,33.83,53.18,4.1,3.6,4.2
"Hua Xia Bank Co., Ltd.",Asia,China,Finance,Major Banks,51.68,52.77,46.93,54.38,55.98,3.5,3.7,3.1
Ambev SA,South America,Brazil,Consumer Non-Durables,Beverages: Alcoholic,58.88,60.13,56.52,58.04,58.97,3.2,2.5,2.3
"Yihai Kerry Arawana Holdings Co., Ltd.",Asia,China,Consumer Non-Durables,Food: Major Diversified,52.18,52.37,54.14,51.48,64.65,4.5,6.8,4.2
Banco do Brasil SA,South America,Brazil,Finance,Major Banks,52.81,52.34,53.68,52.45,66.33,3.2,3.2,3.1
"JA Solar Technology Co., Ltd.",Asia,China,Producer Manufacturing,Trucks/Construction/Farm Machinery,47.6,49.7,46.66,44.73,66.84,4.4,7.8,2.5
CRRC Corp. Ltd.,Asia,China,Producer Manufacturing,Trucks/Construction/Farm Machinery,49.53,53.67,42.91,47.07,64.22,3.2,4.8,1.3
"BOE Technology Group Co., Ltd.",Asia,China,Electronic Technology,Electronic Equipment/Instruments,45.42,46.96,45.14,44.01,67.51,2.1,2.6,5.1
Britannia Industries Ltd.,Asia,India,Consumer Non-Durables,Food: Specialty/Candy,53.8,53,51.65,55.71,57.66,5.6,3.8,3.4
"China Pacific Insurance (Group) Co., Ltd.",Asia,China,Finance,Multi-Line Insurance,51.92,67.37,44.84,47.79,49.98,4.3,8.2,1.2
"S.F. Holding Co., Ltd.",Asia,China,Transportation,Air Freight/Couriers,49.65,49.24,45.16,56.22,65.2,2.37,2.7,3.5
"Shandong Gold Mining Co., Ltd.",Asia,China,Non-Energy Minerals,Precious Metals,51.07,55.02,44.32,49.77,57.73,4.7,4.2,2.4
Telefonica Brasil SA,South America,Brazil,Communications,Specialty Telecommunications,56.78,66.43,47.83,53.65,66.56,5.2,6.7,6.1
"Everbright Securities Co., Ltd.",Asia,China,Finance,Investment Banks/Brokers,44,41.59,47.2,42.73,59,3.8,4.5,3.5
"AVIC Shenyang Aircraft Co., Ltd.",Asia,China,Electronic Technology,Aerospace & Defense,43.22,47.85,40.77,38.6,47.38,3.9,3.7,1.3
"Shanghai Electric Group Co., Ltd.",Asia,China,Producer Manufacturing,Electrical Products,53.4,56.16,49.21,51.9,65.13,5.3,4.7,2.3
CMOC Group Ltd.,Asia,China,Distribution Services,Wholesale Distributors,60.71,64.54,52.7,60.7,65.68,6.4,8.6,4.3
"Wanhua Chemical Group Co., Ltd.",Asia,China,Process Industries,Industrial Specialties,48.58,53.74,41.36,45.32,70.42,3.2,7.5,4.2
"Ping An Bank Co., Ltd.",Asia,China,Finance,Major Banks,55.21,58.03,54.41,54.46,59.21,4.6,8.6,4.1
China State Construction Engineering Corp. Ltd.,Asia,China,Industrial Services,Engineering & Construction,47.88,50.15,43.45,46.54,67.44,3.2,9.1,5.6
HDFC Bank Ltd.,Asia,India,Finance,Regional Banks,55.79,67.46,58.58,43.71,52.79,4.4,5.4,4.2
"Bank of Nanjing Co., Ltd.",Asia,China,Finance,Regional Banks,49.2,59.03,44.02,48.18,58.94,3.6,7.4,6.5
"Nongfu Spring Co., Ltd.",Asia,China,Consumer Non-Durables,Beverages: Non-Alcoholic,59.74,59.76,52.98,62.43,67.88,6.7,7.3,3.5
"Sungrow Power Supply Co., Ltd.",Asia,China,Electronic Technology,Semiconductors,53.74,55.11,46.77,54.91,69.96,4.3,2.4,2.3
"Guangdong Haid Group Co., Ltd.",Asia,China,Process Industries,Agricultural Commodities/Milling,52.01,55.08,44.07,51.12,53.88,2.1,2.1,1.2
"Citic Pacific Special Steel Group Co., Ltd.",Asia,China,Non-Energy Minerals,Steel,53.55,56.55,50.44,50.33,56.75,4.5,4.7,3.5
Inner Mongolia Baotou Steel Union Co. Ltd.,Asia,China,Non-Energy Minerals,Steel,43.76,45.33,42.42,41.7,52.88,6.4,7.3,6.4
"AECC Aviation Power Co., Ltd.",Asia,China,Electronic Technology,Aerospace & Defense,46.64,49.96,44.04,43.38,55,3.2,8.2,7.3
"Flat Glass Group Co., Ltd.",Asia,China,Process Industries,Industrial Specialties,49.86,51.41,47.24,49.04,65.19,3.7,6.3,5.2
Titan Co. Ltd.,Asia,India,Consumer Durables,Other Consumer Specialties,54.14,53.3,53.65,55.1,62.34,2.5,4.6,3.5
Huaneng Lancang River Hydropower Inc.,Asia,China,Utilities,Electric Utilities,45.51,45.52,43.28,47.93,57.64,5.6,2.7,2.1
"Li Ning Co., Ltd.",Asia,China,Consumer Non-Durables,Apparel/Footwear,51.34,51.1,55.8,49.25,62.46,13.5,7.2,7.5
"Ganfeng Lithium Group Co., Ltd.",Asia,China,Process Industries,Chemicals: Specialty,58.64,67.54,48.75,51.3,65.77,4.2,4.6,6.3
Tata Consultancy Services Ltd.,Asia,India,Technology Services,Information Technology Services,52.51,54.34,52.39,51.23,65.18,4.6,2.8,2.4
Haidilao International Holding Ltd.,Asia,China,Consumer Services,Restaurants,50.46,54.2,49.53,46.97,56,4.2,2.3,5.4
"Hangzhou Hikvision Digital Technology Co., Ltd.",Asia,China,Electronic Technology,Telecommunications Equipment,48.59,47.69,47.68,50.05,65.41,1.5,8.6,3.2
"BYD Co., Ltd.",Asia,China,Producer Manufacturing,Electrical Products,47.96,47.49,45.6,50.02,53.3,3.2,8.4,6.5
"Pharmaron Beijing Co., Ltd.",Asia,China,Commercial Services,Miscellaneous Commercial Services,49.76,52.75,47.77,49.62,63.83,5.7,9.1,7.5
"Beijing Kingsoft Office Software, Inc.",Asia,China,Technology Services,Packaged Software,39.6,42.12,40.81,36.93,53.12,4.2,7.9,3.4
"BYD Electronic (International) Co., Ltd.",Asia,China,Electronic Technology,Electronic Production Equipment,47.37,50.64,50.94,41.89,54.08,4.6,3.6,6.2
"NARI Technology Co., Ltd.",Asia,China,Producer Manufacturing,Electrical Products,49.2,50.08,45.43,50.88,62.72,3.2,6.8,3.4
HCL Technologies Ltd.,Asia,India,Technology Services,Information Technology Services,50.98,55.22,52,47.17,64.9,4.5,4.3,3.2
"Shanghai International Airport Co., Ltd.",Asia,China,Transportation,Other Transportation,41.13,43.33,41.06,40.35,49.41,3.1,3.1,4.3
